op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,dep_delay,taxi_out,taxi_in,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,fl_year,fl_month,fl_day,fl_dayofweek,is_weekend,season,crs_dep_hour,crs_dep_min,dep_hour,dep_min,wheels_off_hour,wheels_off_min,wheels_on_hour,wheels_on_min,crs_arr_hour,crs_arr_min,arr_hour,arr_min
13,894.0,253,216,4,155,152,4,-0.2608100920045368,-0.8066073617007832,-0.48278040128996896,-0.295724673403485,0,0,-0.8541883776246063,-0.8899714818081914,-0.7559903326789906,-0.7539439427251471,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,10,14,0,0,0,9,15,9,14,9,24,10,26,10,40,10,31
4,2376.0,253,216,4,251,224,45,-0.29810135788706765,-0.2945070242971468,-0.7655947949651499,-0.3675386333922853,0,0,-0.5935327494000529,-0.6559476464025665,-0.557667927890279,-0.5112030319735997,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,1,1,0,0,3,13,20,13,17,13,32,15,48,16,4,15,51
2,61.0,140,124,1,284,278,1,-0.3353926237695985,-0.9090274291815105,-0.7655947949651499,-0.49321306337268583,0,0,-1.1697188749490657,-1.3029547207592942,-1.1384692562000773,-1.0703441643254399,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,21,3,0,0,10,8,10,3,10,12,10,47,11,10,10,50
1,124.0,220,204,31,69,269,47,-0.16758192729820967,-0.49934715925860135,-0.3413732044523784,-0.1520967534258844,0,0,-1.1422814403991128,-1.137761425178853,-1.0676398259183946,-1.0217959821751303,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,5,17,4,0,1,6,55,6,59,7,12,7,52,7,59,7,58
12,2682.0,192,183,4,71,70,5,-0.2421644590632714,-0.3969270917778741,-0.3413732044523784,-0.34958514339508523,0,0,-0.09965892750089891,-0.18789997559131663,-0.10435957408750947,-0.030743436210192127,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,4,21,6,1,1,13,36,13,36,13,50,16,38,16,56,16,44
11,4052.0,16,15,8,73,74,0,-0.3540382567108639,-0.3969270917778741,-0.7655947949651499,-0.40344561338668544,0,0,-1.2383124613239482,-1.2891886127942576,-1.1951328004254236,-1.117218271229187,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,8,31,5,1,2,12,50,12,44,12,58,12,29,12,47,12,32
1,468.0,73,62,42,143,143,26,0.31720452917469144,0.11517324562576223,-0.19996600761478792,0.18901955652091704,0,0,0.449089763498161,0.3627443430101538,0.37728055182793313,0.3643383219785333,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,0.3956402147143771,2024,4,22,0,0,1,16,56,17,26,17,45,18,7,17,56,18,14
11,3790.0,99,242,48,242,241,48,-0.4099751555346602,0.9345337854715804,-0.0585588107771974,-0.13414326342868432,0,0,-0.9365006812744653,-0.7385442941927871,-0.8834833071860195,-1.0268182079148176,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,8,28,2,0,2,7,15,7,6,7,33,8,26,8,34,8,34
12,2656.0,11,4,30,196,51,11,-0.37268388965212934,1.6514742578366712,4.60787868486329,0.2967404965041175,0,0,-0.031065341126016423,0.4728732067304479,-0.2035207764818653,-0.19145465988018212,-0.14611797876824387,-0.06894253228977358,1.320765859707373,-0.023245306255910498,-0.20843730158677687,2024,9,19,3,0,2,16,55,16,48,17,22,18,3,18,20,18,44
1,187.0,73,62,42,145,154,4,-0.2421644590632714,0.32001338058721673,-0.0585588107771974,-0.40344561338668544,0,0,0.6823079571727615,0.5554698545206684,0.5331052984476351,0.6656718663597645,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,6,26,2,0,1,18,33,18,33,18,54,19,27,19,50,19,35
12,466.0,34,174,41,196,51,11,-0.5032033202409874,-0.19208695681641957,1.7797347481114794,-0.4573060833782857,0,0,-0.49750172847521734,-0.47698824285708863,-0.6426632442282982,-0.7171142873007744,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,1,29,0,0,3,16,50,16,36,16,52,18,2,18,41,18,23
12,1375.0,202,193,2,86,184,28,0.1493938327033026,-0.0896668893356923,0.36566277973557415,-0.295724673403485,0,0,1.9307112291956228,1.6016940598634624,1.6238785247855492,2.168991437772796,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,9,22,6,1,2,23,59,0,20,0,37,7,27,7,47,7,38
5,4158.0,243,223,4,143,143,26,-0.4286207884759256,-0.3969270917778741,0.5070699765731647,-0.3136781634006851,0,0,-0.6346889012249823,-0.5595848906473092,-0.5718338139466155,-0.7087439110679624,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,12,7,5,1,0,10,53,10,43,10,57,12,12,12,34,12,24
13,950.0,167,156,41,166,51,11,3.393733964483487,-0.9090274291815105,-0.9070019918027404,3.0974849360673296,0,0,-0.7170012048748413,-0.8486731579130812,-0.6568291302846349,-0.5982549447948443,-0.027503676341045932,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,5.698098413357839,2024,5,30,3,0,1,16,55,20,10,20,19,21,28,18,30,21,30
13,4777.0,93,84,7,57,61,33,0.18668509858583343,-0.6017672267393286,-0.48278040128996896,0.18901955652091704,0,0,0.17471541799863105,0.18378493946467592,0.32061700760258693,0.22706415176041683,-0.0868108275546449,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,0.32852049068091554,2024,3,16,5,1,3,20,50,21,13,21,25,23,43,23,30,23,48
8,3706.0,1,1,42,72,65,42,-0.4286207884759256,-0.8066073617007832,0.9312915670859362,-0.2777711834062849,0,0,-1.2383124613239482,-1.137761425178853,-1.1526351422564138,-1.1373071741879357,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,20,2,0,0,8,15,8,5,8,15,8,49,9,12,9,4
4,986.0,251,219,45,15,14,8,-0.2608100920045368,-0.7041872942200559,0.08284838606039312,-0.40344561338668544,0,0,0.9566823026722915,0.8445581217864404,0.9580818801377315,1.259968578889415,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,3,5,1,0,3,17,40,17,39,17,50,22,53,23,17,23,2
5,4653.0,269,257,28,266,256,7,0.820636618588858,0.32001338058721673,-0.19996600761478792,0.5660428464621187,0,0,0.394214894398255,0.2250832633597862,0.20728991915189457,0.1969307973222937,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,1.1003973170657235,2024,1,21,6,1,3,17,18,18,15,18,36,20,46,20,14,20,53
1,1569.0,202,193,2,57,61,33,-0.16758192729820967,0.32001338058721673,-0.19996600761478792,-0.33163165339788514,0,0,1.0938694754220564,0.9684530934717713,0.972247766194068,1.3938945986144067,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,5,20,0,0,1,8,58,9,2,9,23,15,27,15,45,15,34
12,2730.0,131,115,12,71,70,5,-0.2421644590632714,0.012753178145034964,-0.3413732044523784,-0.4393525933810856,0,0,0.339340025298349,0.18378493946467592,0.2214558052082311,0.2337604527466664,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,8,7,2,0,2,15,45,15,45,16,3,16,14,16,37,16,20
5,1039.0,216,198,17,222,211,31,-0.577785852006049,-0.3969270917778741,-0.19996600761478792,-0.7086549433390867,0,0,-0.2505648175256404,-0.3668593791367945,-0.3026819788762211,-0.22995839055111722,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,7,4,3,0,2,10,14,9,56,10,10,11,44,12,23,11,51
